subtype,variable,est,value,type,group
MARD,homa2ir,sd,1.4929056754341945,Continuous,NA
MARD,homa2ir,median,2.4154589371980677,Continuous,NA
MARD,homa2ir,q25,1.6103059581320451,Continuous,NA
MARD,homa2ir,q75,3.7453183520599254,Continuous,NA
MARD,homa2ir,min,0.38270187523918864,Continuous,NA
MARD,homa2ir,max,7.518796992481203,Continuous,NA
MARD,homa2ir,freq,389,Continuous,NA
MARD,homa2ir,missing,67,Continuous,NA
MARD,sbp,mean,124.5191538011696,Continuous,NA
MARD,sbp,sd,18.264461924086365,Continuous,NA
MARD,sbp,median,123,Continuous,NA
MARD,sbp,q25,113,Continuous,NA
MARD,sbp,q75,133.16666666666666,Continuous,NA
MARD,sbp,min,70,Continuous,NA
MARD,sbp,max,195,Continuous,NA
MARD,sbp,freq,456,Continuous,NA
MARD,sbp,missing,0,Continuous,NA
MARD,dbp,mean,73.56010972222222,Continuous,NA
MARD,dbp,sd,11.777344061683758,Continuous,NA
MARD,dbp,median,73,Continuous,NA
MARD,dbp,q25,67,Continuous,NA
MARD,dbp,q75,79,Continuous,NA
MARD,dbp,min,44,Continuous,NA
MARD,dbp,max,130,Continuous,NA
MARD,dbp,freq,456,Continuous,NA
MARD,dbp,missing,0,Continuous,NA
MARD,ldlc,mean,110.55808656036446,Continuous,NA
MARD,ldlc,sd,33.81686742378405,Continuous,NA
MARD,ldlc,median,108,Continuous,NA
MARD,ldlc,q25,85.5,Continuous,NA
MARD,ldlc,q75,132.5,Continuous,NA
MARD,ldlc,min,32,Continuous,NA
MARD,ldlc,max,223,Continuous,NA
MARD,ldlc,freq,439,Continuous,NA
MARD,ldlc,missing,17,Continuous,NA
MARD,hdlc,mean,52.099773242630384,Continuous,NA
MARD,hdlc,sd,13.86555657156875,Continuous,NA
MARD,hdlc,median,50,Continuous,NA
MARD,hdlc,q25,42,Continuous,NA
MARD,hdlc,q75,60,Continuous,NA
MARD,hdlc,min,17,Continuous,NA
MARD,hdlc,max,100,Continuous,NA
MARD,hdlc,freq,441,Continuous,NA
MARD,hdlc,missing,15,Continuous,NA
MARD,insulinf,mean,24.10260047281316,Continuous,NA
MARD,insulinf,sd,12.942713779689514,Continuous,NA
MARD,insulinf,median,21,Continuous,NA
MARD,insulinf,q25,14.1,Continuous,NA
MARD,insulinf,q75,32,Continuous,NA
MARD,insulinf,min,2,Continuous,NA
MARD,insulinf,max,65,Continuous,NA
MARD,insulinf,freq,423,Continuous,NA
MARD,insulinf,missing,33,Continuous,NA
MARD,glucosef,mean,115.9689578713969,Continuous,NA
MARD,glucosef,sd,16.20147904154978,Continuous,NA
MARD,glucosef,median,115,Continuous,NA
MARD,glucosef,q25,104,Continuous,NA
MARD,glucosef,q75,128.5,Continuous,NA
MARD,glucosef,min,73,Continuous,NA
MARD,glucosef,max,150,Continuous,NA
MARD,glucosef,freq,451,Continuous,NA
MARD,glucosef,missing,5,Continuous,NA
MARD,egfr_ckdepi_2021,mean,85.22650254313558,Continuous,NA
MARD,egfr_ckdepi_2021,sd,15.486686579732698,Continuous,NA
MARD,egfr_ckdepi_2021,median,86.82462555617644,Continuous,NA
MARD,egfr_ckdepi_2021,q25,76.76627007569442,Continuous,NA
MARD,egfr_ckdepi_2021,q75,97.00981704661349,Continuous,NA
MARD,egfr_ckdepi_2021,min,18.036830968680356,Continuous,NA
MARD,egfr_ckdepi_2021,max,118.33443708459407,Continuous,NA
MARD,egfr_ckdepi_2021,freq,376,Continuous,NA
MARD,egfr_ckdepi_2021,missing,80,Continuous,NA
MARD,tgl,mean,127.39455782312925,Continuous,NA
MARD,tgl,sd,61.31385997358879,Continuous,NA
MARD,tgl,median,116,Continuous,NA
MARD,tgl,q25,78,Continuous,NA
MARD,tgl,q75,157,Continuous,NA
MARD,tgl,min,35,Continuous,NA
MARD,tgl,max,300,Continuous,NA
MARD,tgl,freq,441,Continuous,NA
MARD,tgl,missing,15,Continuous,NA
MARD,tg_hdl,mean,2.7444321963289857,Continuous,NA
MARD,tg_hdl,sd,1.8359562425077938,Continuous,NA
MARD,tg_hdl,median,2.3,Continuous,NA
MARD,tg_hdl,q25,1.445945945945946,Continuous,NA
MARD,tg_hdl,q75,3.395348837209302,Continuous,NA
MARD,tg_hdl,min,0.43,Continuous,NA
MARD,tg_hdl,max,12.909090909090908,Continuous,NA
MARD,tg_hdl,freq,441,Continuous,NA
MARD,tg_hdl,missing,15,Continuous,NA
MOD,age,mean,52.618476920080504,Continuous,NA
MOD,age,sd,6.985988496838151,Continuous,NA
MOD,age,median,52.06849315068493,Continuous,NA
MOD,age,q25,47.83835616438356,Continuous,NA
MOD,age,q75,57.00342465753425,Continuous,NA
MOD,age,min,32,Continuous,NA
MOD,age,max,74.53972602739726,Continuous,NA
MOD,age,freq,844,Continuous,NA
MOD,age,missing,0,Continuous,NA
MOD,dmagediag,mean,52.608998247094725,Continuous,NA
MOD,dmagediag,sd,6.9908957521297115,Continuous,NA
MOD,dmagediag,median,52.06849315068493,Continuous,NA
MOD,dmagediag,q25,47.83835616438356,Continuous,NA
MOD,dmagediag,q75,57.00342465753425,Continuous,NA
MOD,dmagediag,min,32,Continuous,NA
MOD,dmagediag,max,74.53972602739726,Continuous,NA
MOD,dmagediag,freq,844,Continuous,NA
MOD,dmagediag,missing,0,Continuous,NA
MOD,bmi,mean,37.83838768342881,Continuous,NA
MOD,bmi,sd,6.873726470073524,Continuous,NA
MOD,bmi,median,36.884684429327294,Continuous,NA
MOD,bmi,q25,32.80035946766878,Continuous,NA
MOD,bmi,q75,41.61163689021689,Continuous,NA
MOD,bmi,min,22.21279695084643,Continuous,NA
MOD,bmi,max,65,Continuous,NA
MOD,bmi,freq,844,Continuous,NA
MOD,bmi,missing,0,Continuous,NA
MOD,hba1c,mean,6.2725118483412325,Continuous,NA
MOD,hba1c,sd,0.577640181238834,Continuous,NA
MOD,hba1c,median,6.3,Continuous,NA
MOD,hba1c,q25,5.9,Continuous,NA
MOD,hba1c,q75,6.6,Continuous,NA
MOD,hba1c,min,4,Continuous,NA
MOD,hba1c,max,8.2,Continuous,NA
MOD,hba1c,freq,844,Continuous,NA
MOD,hba1c,missing,0,Continuous,NA
MOD,homa2b,mean,136.339558573854,Continuous,NA
MOD,homa2b,sd,46.682153072143855,Continuous,NA
MOD,homa2b,median,132.6,Continuous,NA
MOD,homa2b,q25,102,Continuous,NA
MOD,homa2b,q75,169.4,Continuous,NA
MOD,homa2b,min,25.6,Continuous,NA
MOD,homa2b,max,294.8,Continuous,NA
MOD,homa2b,freq,589,Continuous,NA
MOD,homa2b,missing,255,Continuous,NA
MOD,homa2ir,mean,3.9542473790296526,Continuous,NA
MOD,homa2ir,sd,1.7865175987554842,Continuous,NA
MOD,homa2ir,median,3.7593984962406015,Continuous,NA
MOD,homa2ir,q25,2.6178010471204187,Continuous,NA
MOD,homa2ir,q75,5.154639175257732,Continuous,NA
MOD,homa2ir,min,0.4816955684007707,Continuous,NA
MOD,homa2ir,max,8,Continuous,NA
MOD,homa2ir,freq,589,Continuous,NA
MOD,homa2ir,missing,255,Continuous,NA
MOD,sbp,mean,121.99417176749704,Continuous,NA
MOD,sbp,sd,17.27895507681625,Continuous,NA
MOD,sbp,median,121,Continuous,NA
MOD,sbp,q25,112,Continuous,NA
MOD,sbp,q75,132,Continuous,NA
MOD,sbp,min,70,Continuous,NA
MOD,sbp,max,201,Continuous,NA
MOD,sbp,freq,843,Continuous,NA
MOD,sbp,missing,1,Continuous,NA
MOD,dbp,mean,80.22923111901937,Continuous,NA
MOD,dbp,sd,14.53561413904658,Continuous,NA
MOD,dbp,median,78,Continuous,NA
MOD,dbp,q25,71,Continuous,NA
MOD,dbp,q75,85,Continuous,NA
MOD,dbp,min,40,Continuous,NA
MOD,dbp,max,130,Continuous,NA
MOD,dbp,freq,843,Continuous,NA
MOD,dbp,missing,1,Continuous,NA
MOD,ldlc,mean,115.42439024390244,Continuous,NA
MOD,ldlc,sd,33.93872076297235,Continuous,NA
MOD,ldlc,median,114,Continuous,NA
MOD,ldlc,q25,93,Continuous,NA
MOD,ldlc,q75,134,Continuous,NA
MOD,ldlc,min,30,Continuous,NA
MOD,ldlc,max,250,Continuous,NA
MOD,ldlc,freq,820,Continuous,NA
MOD,ldlc,missing,24,Continuous,NA
MOD,hdlc,mean,46.22168087697929,Continuous,NA
MOD,hdlc,sd,11.402056622381224,Continuous,NA
MOD,hdlc,median,45,Continuous,NA
MOD,hdlc,q25,39,Continuous,NA
MOD,hdlc,q75,52,Continuous,NA
MOD,hdlc,min,21,Continuous,NA
MOD,hdlc,max,100,Continuous,NA
MOD,hdlc,freq,821,Continuous,NA
MOD,hdlc,missing,23,Continuous,NA
MOD,insulinf,mean,35.79457567803976,Continuous,NA
MOD,insulinf,sd,17.375262968039692,Continuous,NA
MOD,insulinf,median,33.150000000000006,Continuous,NA
MOD,insulinf,q25,22.600000000000005,Continuous,NA
MOD,insulinf,q75,46.775,Continuous,NA
MOD,insulinf,min,3.9,Continuous,NA
MOD,insulinf,max,99.59999999999998,Continuous,NA
MOD,insulinf,freq,762,Continuous,NA
MOD,insulinf,missing,82,Continuous,NA
MOD,glucosef,mean,121.13521634615384,Continuous,NA
MOD,glucosef,sd,15.178105794224493,Continuous,NA
MOD,glucosef,median,122,Continuous,NA
MOD,glucosef,q25,110,Continuous,NA
MOD,glucosef,q75,131.625,Continuous,NA
MOD,glucosef,min,76,Continuous,NA
MOD,glucosef,max,150,Continuous,NA
MOD,glucosef,freq,832,Continuous,NA
MOD,glucosef,missing,12,Continuous,NA
MOD,egfr_ckdepi_2021,mean,97.655937144791,Continuous,NA
MOD,egfr_ckdepi_2021,sd,14.731094661365642,Continuous,NA
MOD,egfr_ckdepi_2021,median,101.75346548108507,Continuous,NA
MOD,egfr_ckdepi_2021,q25,87.69214404622721,Continuous,NA
MOD,egfr_ckdepi_2021,q75,108.00549724697521,Continuous,NA
MOD,egfr_ckdepi_2021,min,28.843734296489888,Continuous,NA
MOD,egfr_ckdepi_2021,max,126.64595050054776,Continuous,NA
MOD,egfr_ckdepi_2021,freq,644,Continuous,NA
MOD,egfr_ckdepi_2021,missing,200,Continuous,NA
MOD,tgl,mean,141.8038976857491,Continuous,NA
MOD,tgl,sd,64.4877510351385,Continuous,NA
MOD,tgl,median,129,Continuous,NA
MOD,tgl,q25,93,Continuous,NA
MOD,tgl,q75,176,Continuous,NA
MOD,tgl,min,30,Continuous,NA
MOD,tgl,max,300,Continuous,NA
MOD,tgl,freq,821,Continuous,NA
MOD,tgl,missing,23,Continuous,NA
MOD,tg_hdl,mean,3.3865844980077435,Continuous,NA
MOD,tg_hdl,sd,2.083094136694122,Continuous,NA
MOD,tg_hdl,median,2.9038461538461537,Continuous,NA
MOD,tg_hdl,q25,1.8695652173913044,Continuous,NA
MOD,tg_hdl,q75,4.323529411764706,Continuous,NA
MOD,tg_hdl,min,0.3333333333333333,Continuous,NA
MOD,tg_hdl,max,14.285714285714286,Continuous,NA
MOD,tg_hdl,freq,821,Continuous,NA
MOD,tg_hdl,missing,23,Continuous,NA
NOT2D,age,mean,61.20001606524963,Continuous,NA
NOT2D,age,sd,11.58916741707851,Continuous,NA
NOT2D,age,median,59,Continuous,NA
NOT2D,age,q25,53,Continuous,NA
NOT2D,age,q75,70,Continuous,NA
NOT2D,age,min,25,Continuous,NA
NOT2D,age,max,94,Continuous,NA
NOT2D,age,freq,8092,Continuous,NA
NOT2D,age,missing,0,Continuous,NA
NOT2D,dmagediag,mean,NA,Continuous,NA
NOT2D,dmagediag,sd,NA,Continuous,NA
NOT2D,dmagediag,median,NA,Continuous,NA
NOT2D,dmagediag,q25,NA,Continuous,NA
NOT2D,dmagediag,q75,NA,Continuous,NA
NOT2D,dmagediag,min,Inf,Continuous,NA
NOT2D,dmagediag,max,-Inf,Continuous,NA
NOT2D,dmagediag,freq,0,Continuous,NA
NOT2D,dmagediag,missing,8092,Continuous,NA
NOT2D,bmi,mean,29.397842349074512,Continuous,NA
NOT2D,bmi,sd,6.283251416580956,Continuous,NA
NOT2D,bmi,median,28.3242888057468,Continuous,NA
NOT2D,bmi,q25,25.006841884567493,Continuous,NA
NOT2D,bmi,q75,32.64674083057632,Continuous,NA
NOT2D,bmi,min,16.691072283,Continuous,NA
NOT2D,bmi,max,65,Continuous,NA
NOT2D,bmi,freq,8092,Continuous,NA
NOT2D,bmi,missing,0,Continuous,NA
NOT2D,hba1c,mean,5.584280771131982,Continuous,NA
NOT2D,hba1c,sd,0.377294081111896,Continuous,NA
NOT2D,hba1c,median,5.6,Continuous,NA
NOT2D,hba1c,q25,5.3,Continuous,NA
NOT2D,hba1c,q75,5.8,Continuous,NA
NOT2D,hba1c,min,4,Continuous,NA
NOT2D,hba1c,max,6.4,Continuous,NA
NOT2D,hba1c,freq,8092,Continuous,NA
NOT2D,hba1c,missing,0,Continuous,NA
NOT2D,homa2b,mean,164.81677265500795,Continuous,NA
NOT2D,homa2b,sd,83.71289068195287,Continuous,NA
NOT2D,homa2b,median,144.95,Continuous,NA
NOT2D,homa2b,q25,90.8,Continuous,NA
NOT2D,homa2b,q75,240.77499999999998,Continuous,NA
NOT2D,homa2b,min,30.4,Continuous,NA
NOT2D,homa2b,max,300,Continuous,NA
NOT2D,homa2b,freq,7548,Continuous,NA
NOT2D,homa2b,missing,544,Continuous,NA
NOT2D,homa2ir,mean,2.899810807935205,Continuous,NA
NOT2D,homa2ir,sd,2.1490265129188075,Continuous,NA
NOT2D,homa2ir,median,2.2271714922048997,Continuous,NA
NOT2D,homa2ir,q25,1.0822510822510822,Continuous,NA
NOT2D,homa2ir,q75,4.385964912280701,Continuous,NA
NOT2D,homa2ir,min,0.3469812630117974,Continuous,NA
NOT2D,homa2ir,max,7.352941176470589,Continuous,NA
NOT2D,homa2ir,freq,7548,Continuous,NA
NOT2D,homa2ir,missing,544,Continuous,NA
NOT2D,sbp,mean,115.10533506798517,Continuous,NA
NOT2D,sbp,sd,23.826711908160433,Continuous,NA
NOT2D,sbp,median,116.33333333333333,Continuous,NA
NOT2D,sbp,q25,102.33333333333333,Continuous,NA
NOT2D,sbp,q75,130,Continuous,NA
NOT2D,sbp,min,70,Continuous,NA
NOT2D,sbp,max,220,Continuous,NA
NOT2D,sbp,freq,8090,Continuous,NA
NOT2D,sbp,missing,2,Continuous,NA
NOT2D,dbp,mean,78.73896719818707,Continuous,NA
NOT2D,dbp,sd,19.674544018720418,Continuous,NA
NOT2D,dbp,median,73.66666666666667,Continuous,NA
NOT2D,dbp,q25,65.66666666666667,Continuous,NA
NOT2D,dbp,q75,85,Continuous,NA
NOT2D,dbp,min,40,Continuous,NA
NOT2D,dbp,max,130,Continuous,NA
NOT2D,dbp,freq,8090,Continuous,NA
NOT2D,dbp,missing,2,Continuous,NA
NOT2D,ldlc,mean,112.12492192379763,Continuous,NA
NOT2D,ldlc,sd,32.19066270484093,Continuous,NA
NOT2D,ldlc,median,111,Continuous,NA
NOT2D,ldlc,q25,89,Continuous,NA
NOT2D,ldlc,q75,132,Continuous,NA
NOT2D,ldlc,min,30,Continuous,NA
NOT2D,ldlc,max,250,Continuous,NA
NOT2D,ldlc,freq,8005,Continuous,NA
NOT2D,ldlc,missing,87,Continuous,NA
NOT2D,hdlc,mean,57.68426294820717,Continuous,NA
NOT2D,hdlc,sd,16.274499422262775,Continuous,NA
NOT2D,hdlc,median,55,Continuous,NA
NOT2D,hdlc,q25,46,Continuous,NA
NOT2D,hdlc,q75,67,Continuous,NA
NOT2D,hdlc,min,14,Continuous,NA
NOT2D,hdlc,max,100,Continuous,NA
NOT2D,hdlc,freq,8032,Continuous,NA
NOT2D,hdlc,missing,60,Continuous,NA
NOT2D,insulinf,mean,28.936393746688637,Continuous,NA
NOT2D,insulinf,sd,25.558514079336916,Continuous,NA
NOT2D,insulinf,median,20,Continuous,NA
NOT2D,insulinf,q25,9.666666666666666,Continuous,NA
NOT2D,insulinf,q75,40.8,Continuous,NA
NOT2D,insulinf,min,2,Continuous,NA
NOT2D,insulinf,max,100,Continuous,NA
NOT2D,insulinf,freq,7548,Continuous,NA
NOT2D,insulinf,missing,544,Continuous,NA
NOT2D,glucosef,mean,94.96763351176398,Continuous,NA
NOT2D,glucosef,sd,9.541904621923068,Continuous,NA
NOT2D,glucosef,median,94,Continuous,NA
NOT2D,glucosef,q25,88,Continuous,NA
NOT2D,glucosef,q75,101,Continuous,NA
NOT2D,glucosef,min,50,Continuous,NA
NOT2D,glucosef,max,125,Continuous,NA
NOT2D,glucosef,freq,8033,Continuous,NA
NOT2D,glucosef,missing,59,Continuous,NA
NOT2D,egfr_ckdepi_2021,mean,85.99301872802981,Continuous,NA
NOT2D,egfr_ckdepi_2021,sd,16.84445772398159,Continuous,NA
NOT2D,egfr_ckdepi_2021,median,88.53668089678959,Continuous,NA
NOT2D,egfr_ckdepi_2021,q25,75.84281452629476,Continuous,NA
NOT2D,egfr_ckdepi_2021,q75,98.94628135766025,Continuous,NA
NOT2D,egfr_ckdepi_2021,min,3.2054887178549225,Continuous,NA
NOT2D,egfr_ckdepi_2021,max,126.723344470448,Continuous,NA
NOT2D,egfr_ckdepi_2021,freq,6791,Continuous,NA
NOT2D,egfr_ckdepi_2021,missing,1301,Continuous,NA
NOT2D,tgl,mean,104.85410182995145,Continuous,NA
NOT2D,tgl,sd,53.48613660270626,Continuous,NA
NOT2D,tgl,median,91,Continuous,NA
NOT2D,tgl,q25,67,Continuous,NA
NOT2D,tgl,q75,127,Continuous,NA
NOT2D,tgl,min,30,Continuous,NA
NOT2D,tgl,max,300,Continuous,NA
NOT2D,tgl,freq,8033,Continuous,NA
NOT2D,tgl,missing,59,Continuous,NA
NOT2D,tg_hdl,mean,2.097895947000326,Continuous,NA
NOT2D,tg_hdl,sd,1.549539350821982,Continuous,NA
NOT2D,tg_hdl,median,1.6481481481481481,Continuous,NA
NOT2D,tg_hdl,q25,1.0504746835443037,Continuous,NA
NOT2D,tg_hdl,q75,2.625466417910448,Continuous,NA
NOT2D,tg_hdl,min,0.3,Continuous,NA
NOT2D,tg_hdl,max,21.428571428571427,Continuous,NA
NOT2D,tg_hdl,freq,8032,Continuous,NA
NOT2D,tg_hdl,missing,60,Continuous,NA
SIDD,age,mean,56.94921722113503,Continuous,NA
SIDD,age,sd,11.546467432684345,Continuous,NA
SIDD,age,median,54.5,Continuous,NA
SIDD,age,q25,50.723287671232875,Continuous,NA
SIDD,age,q75,64.25,Continuous,NA
SIDD,age,min,35,Continuous,NA
SIDD,age,max,88,Continuous,NA
SIDD,age,freq,28,Continuous,NA
SIDD,age,missing,0,Continuous,NA
SIDD,dmagediag,mean,56.94921722113503,Continuous,NA
SIDD,dmagediag,sd,11.546467432684345,Continuous,NA
SIDD,dmagediag,median,54.5,Continuous,NA
SIDD,dmagediag,q25,50.723287671232875,Continuous,NA
SIDD,dmagediag,q75,64.25,Continuous,NA
SIDD,dmagediag,min,35,Continuous,NA
SIDD,dmagediag,max,88,Continuous,NA
SIDD,dmagediag,freq,28,Continuous,NA
SIDD,dmagediag,missing,0,Continuous,NA
SIDD,bmi,mean,34.073552214959705,Continuous,NA
SIDD,bmi,sd,7.263115358637381,Continuous,NA
SIDD,bmi,median,34.64371164939543,Continuous,NA
SIDD,bmi,q25,27.820740956250003,Continuous,NA
SIDD,bmi,q75,38.0810074365044,Continuous,NA
SIDD,bmi,min,22.27617232707686,Continuous,NA
SIDD,bmi,max,47.44552652306313,Continuous,NA
SIDD,bmi,freq,28,Continuous,NA
SIDD,bmi,missing,0,Continuous,NA
SIDD,hba1c,mean,10.27142857142857,Continuous,NA
SIDD,hba1c,sd,1.795644347953855,Continuous,NA
SIDD,hba1c,median,9.7,Continuous,NA
SIDD,hba1c,q25,8.9,Continuous,NA
SIDD,hba1c,q75,10.874999999999998,Continuous,NA
SIDD,hba1c,min,8.2,Continuous,NA
SIDD,hba1c,max,14,Continuous,NA
SIDD,hba1c,freq,28,Continuous,NA
SIDD,hba1c,missing,0,Continuous,NA
SIDD,homa2b,mean,69.445,Continuous,NA
SIDD,homa2b,sd,59.38004693231734,Continuous,NA
SIDD,homa2b,median,60.55,Continuous,NA
SIDD,homa2b,q25,24.85,Continuous,NA
SIDD,homa2b,q75,79.39999999999999,Continuous,NA
SIDD,homa2b,min,10.1,Continuous,NA
SIDD,homa2b,max,257.7,Continuous,NA
SIDD,homa2b,freq,20,Continuous,NA
SIDD,homa2b,missing,8,Continuous,NA
SIDD,homa2ir,mean,5.376516151271061,Continuous,NA
SIDD,homa2ir,sd,3.10722612968345,Continuous,NA
SIDD,homa2ir,median,5.860780751962162,Continuous,NA
SIDD,homa2ir,q25,2.5050130278688325,Continuous,NA
SIDD,homa2ir,q75,8.035714285714286,Continuous,NA
SIDD,homa2ir,min,0.9737098344693281,Continuous,NA
SIDD,homa2ir,max,10,Continuous,NA
SIDD,homa2ir,freq,20,Continuous,NA
SIDD,homa2ir,missing,8,Continuous,NA
SIDD,sbp,mean,120.29761904761905,Continuous,NA
SIDD,sbp,sd,23.858178241815207,Continuous,NA
SIDD,sbp,median,121.66666666666666,Continuous,NA
SIDD,sbp,q25,111.5,Continuous,NA
SIDD,sbp,q75,134.16666666666666,Continuous,NA
SIDD,sbp,min,70,Continuous,NA
SIDD,sbp,max,174,Continuous,NA
SIDD,sbp,freq,28,Continuous,NA
SIDD,sbp,missing,0,Continuous,NA
SIDD,dbp,mean,80.47619047619048,Continuous,NA
SIDD,dbp,sd,20.17259449077198,Continuous,NA
SIDD,dbp,median,76.5,Continuous,NA
SIDD,dbp,q25,69.83333333333333,Continuous,NA
SIDD,dbp,q75,89.75,Continuous,NA
SIDD,dbp,min,53.666666666666664,Continuous,NA
SIDD,dbp,max,130,Continuous,NA
SIDD,dbp,freq,28,Continuous,NA
SIDD,dbp,missing,0,Continuous,NA
SIDD,ldlc,mean,109.68,Continuous,NA
SIDD,ldlc,sd,34.988950636832,Continuous,NA
SIDD,ldlc,median,111,Continuous,NA
SIDD,ldlc,q25,80,Continuous,NA
SIDD,ldlc,q75,134,Continuous,NA
SIDD,ldlc,min,57,Continuous,NA
SIDD,ldlc,max,186,Continuous,NA
SIDD,ldlc,freq,25,Continuous,NA
SIDD,ldlc,missing,3,Continuous,NA
SIDD,hdlc,mean,42.5,Continuous,NA
SIDD,hdlc,sd,14.012137595670405,Continuous,NA
SIDD,hdlc,median,38.5,Continuous,NA
SIDD,hdlc,q25,36,Continuous,NA
SIDD,hdlc,q75,45.75,Continuous,NA
SIDD,hdlc,min,26,Continuous,NA
SIDD,hdlc,max,99,Continuous,NA
SIDD,hdlc,freq,26,Continuous,NA
SIDD,hdlc,missing,2,Continuous,NA
SIDD,insulinf,mean,44.08181818181818,Continuous,NA
SIDD,insulinf,sd,31.37735463417108,Continuous,NA
SIDD,insulinf,median,43.85000000000001,Continuous,NA
SIDD,insulinf,q25,14.291666666666666,Continuous,NA
SIDD,insulinf,q75,68.75,Continuous,NA
SIDD,insulinf,min,7,Continuous,NA
SIDD,insulinf,max,100,Continuous,NA
SIDD,insulinf,freq,22,Continuous,NA
SIDD,insulinf,missing,6,Continuous,NA
SIDD,glucosef,mean,146.76923076923077,Continuous,NA
SIDD,glucosef,sd,8.613049133995196,Continuous,NA
SIDD,glucosef,median,150,Continuous,NA
SIDD,glucosef,q25,150,Continuous,NA
SIDD,glucosef,q75,150,Continuous,NA
SIDD,glucosef,min,111,Continuous,NA
SIDD,glucosef,max,150,Continuous,NA
SIDD,glucosef,freq,26,Continuous,NA
SIDD,glucosef,missing,2,Continuous,NA
SIDD,egfr_ckdepi_2021,mean,98.0628234329858,Continuous,NA
SIDD,egfr_ckdepi_2021,sd,18.190469435354586,Continuous,NA
SIDD,egfr_ckdepi_2021,median,100.83874443301161,Continuous,NA
SIDD,egfr_ckdepi_2021,q25,95.2162874450264,Continuous,NA
SIDD,egfr_ckdepi_2021,q75,107.15052300367861,Continuous,NA
SIDD,egfr_ckdepi_2021,min,38.73647842717646,Continuous,NA
SIDD,egfr_ckdepi_2021,max,119.54279196681279,Continuous,NA
SIDD,egfr_ckdepi_2021,freq,18,Continuous,NA
SIDD,egfr_ckdepi_2021,missing,10,Continuous,NA
SIDD,tgl,mean,179.1153846153846,Continuous,NA
SIDD,tgl,sd,82.011865933206,Continuous,NA
SIDD,tgl,median,147,Continuous,NA
SIDD,tgl,q25,124.25,Continuous,NA
SIDD,tgl,q75,260.25,Continuous,NA
SIDD,tgl,min,54,Continuous,NA
SIDD,tgl,max,300,Continuous,NA
SIDD,tgl,freq,26,Continuous,NA
SIDD,tgl,missing,2,Continuous,NA
SIDD,tg_hdl,mean,4.678644413167496,Continuous,NA
SIDD,tg_hdl,sd,2.7096973303003886,Continuous,NA
SIDD,tg_hdl,median,3.8982125124131084,Continuous,NA
SIDD,tg_hdl,q25,2.749032414126754,Continuous,NA
SIDD,tg_hdl,q75,6.341891891891891,Continuous,NA
SIDD,tg_hdl,min,1.0588235294117647,Continuous,NA
SIDD,tg_hdl,max,11.538461538461538,Continuous,NA
SIDD,tg_hdl,freq,26,Continuous,NA
SIDD,tg_hdl,missing,2,Continuous,NA
SIRD,age,mean,66.31485249815267,Continuous,NA
SIRD,age,sd,9.698057533954131,Continuous,NA
SIRD,age,median,65.01095890410959,Continuous,NA
SIRD,age,q25,59.602739726027394,Continuous,NA
SIRD,age,q75,73,Continuous,NA
SIRD,age,min,40.032876712328765,Continuous,NA
SIRD,age,max,90,Continuous,NA
